TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Zscan2	Th17_upOnly.txt	Th17_upOnly	1170	up	10	6	0.05672607477	1	Car9 Dntt Lyl1 Pgf Stard10 Zcchc24
Purb	Th17_downOnly.txt	Th17_downOnly	1248	down	14	8	0.0570165637424	1	Cd74 Cxcl1 Dusp14 Fbn1 Ncf1 Slc12a8 Unc93b1 Xdh
Snapc2	Th17_downOnly.txt	Th17_downOnly	1248	down	14	8	0.0570165637424	1	Aim2 BC018473 Ccdc3 Creb1 Dcp2 F2rl2 Fbxo30 Spin4
Zfp395	Th17_downOnly.txt	Th17_downOnly	1248	up	14	8	0.0570165637424	1	Bcl2l11 Gbp7 Myadm Nrn1 Pappa2 Qser1 Sh2b2 Stc2
Zfp184	Th17_downOnly.txt	Th17_downOnly	1248	up	26	13	0.0572864406875	1	Adamts20 Bcas1 Bspry Cmtm8 Cpa2 Gyk Hes1 Pde10a Pdgfrb Rhbdf1 Spry4 Unc93b1 Vgf
Zbtb5	Th17_downOnly.txt	Th17_downOnly	1248	up	26	13	0.0572864406875	1	1110032F04Rik Bbc3 Dock4 Foxp3 Gna15 Irf5 Kif13b Mab21l3 Ogdhl Snx11 Tas1r3 Zfp651 Zscan29
Hmga2	Th17_downOnly.txt	Th17_downOnly	1248	up	78	33	0.0585460762687	1	5730508B09Rik A1cf Aebp1 C2cd4b Cald1 Cxcl1 D130040H23Rik Dnm3os Evi2a Fbn1 Fn1 Gpr35 Gsta4 Jag1 Lmo7 Lrrn3 Ly96 Mcoln3 Mex3a Myadm Myo1e Phldb2 Pm20d1 Rassf6 Samsn1 Slc26a10 Snai2 Taf7 Tmem171 Tnc Tnn Tns1 Zfp827
Meis2	Th17_downOnly.txt	Th17_downOnly	1248	up	105	43	0.0585467755852	1	1700040L02Rik Ankrd33b Apoh Aqp4 Arhgef6 Avpr1a Bcas1 Celf2 Chrm4 Cmtm7 Cmtm8 Ctnnal1 Ddc Fam111a Fam120c Fam84a Fbn1 Galm Gen1 Gpm6b Gramd1b Inadl Itpr1 Kcnk10 Mcoln3 Mctp1 Mdga2 Myh10 Nbea Ncoa2 Nsg2 Oxct1 Pkp4 Reep3 Sell Sidt1 Slamf6 Slc12a8 Tnfaip8 Tns1 Trim14 Ypel2 Zfp362
Zfp580	Th17_upOnly.txt	Th17_upOnly	1170	up	20	10	0.0612892082278	1	Angptl6 Ccr5 Dpm3 Eif4ebp1 Fth1 Krtcap2 Mapre3 Pde6d Plscr3 Tmem136
Phf1	Th17_upOnly.txt	Th17_upOnly	1170	up	20	10	0.0612892082278	1	Abhd14b Camkk1 Cyp2d22 Ecm1 L1cam Pde2a Sh2b1 Stx1a Tax1bp3 Znrf1
Zfhx2	Th17_upOnly.txt	Th17_upOnly	1170	up	15	8	0.0619409768081	1	Emp1 Gad2 Igfbp4 Klf10 Klhl6 Lrp8 Sgk1 Tmem125
Zbtb22	Th17_upOnly.txt	Th17_upOnly	1170	up	15	8	0.0619409768081	1	Aldh1b1 B4galt2 Pim1 Pwwp2b Pxn Sema4f Sgk1 Wdr81
Zfp692	Th17_upOnly.txt	Th17_upOnly	1170	up	15	8	0.0619409768081	1	Abhd14b Adcy4 Nlrc3 Sh2b1 Stx1a Tnfrsf25 Trim3 Usp35
Zfp536	Th17_downOnly.txt	Th17_downOnly	1248	up	39	18	0.0641289304489	1	Ckap4 Eci1 Epcam Ermp1 Ghrh Grp Gykl1 Gzmb H2-Aa Hes1 Hopx Itsn1 Lpin3 Pcdhgc5 Robo1 Tekt2 Tmem37 Zfhx3
Zbtb4	Th17_downOnly.txt	Th17_downOnly	1248	down	52	23	0.0645314575825	1	4632434I11Rik Bmp2 Cd276 Edn3 Enam Enthd1 Gdf3 Glt28d2 Gyk Hebp2 Il3 Nkx1-2 Nudt4 Oas1c Pappa2 Perp Plxnc1 Pms1 Ppap2a Ppic Slc1a2 Tnni1 Wnt10a
Nfia	Th17_upOnly.txt	Th17_upOnly	1170	down	36	16	0.064755844922	1	Abcc9 Ahrr C1rb Cacnb2 Cyp1b1 Ecm1 Fgf7 Malt1 Mgll Myo1h Numbl Piwil2 Ptgfrn Pxn Specc1 Tnk2
Egr4	Th17_downOnly.txt	Th17_downOnly	1248	up	103	42	0.0651885053968	1	Abhd12b Cdk5r1 Chga D830031N03Rik Dlk2 Dnmt3a Dock4 Fam20c Gen1 Heg1 Hspb7 Ina Insm1 Jam3 Kcnk6 Krt17 Mycbp2 Nefh Nod1 Nudt4 Opn3 Phtf2 Pkhd1l1 Pkp4 Psd Rfx7 Rhbdl3 Rxra Slc22a3 Slc29a3 Slc30a3 Snx9 Sox21 Sspo Tgfbr1 Tln2 Tmem158 Ttll9 Ttyh3 Wnt10a Zfhx3 Zfpm1
Bhlha15	Th17_downOnly.txt	Th17_downOnly	1248	down	12	7	0.065869134071	1	Ascl4 Fam120c Magee2 Oas1b Slc5a9 St14 Tbc1d9
Zfp296	Th17_downOnly.txt	Th17_downOnly	1248	up	34	16	0.0659648698485	1	Aqp4 Ccl5 Cpa2 Dlc1 Dll1 Eci1 Idi2 Ifitm2 Il13 Il6 Osr2 Perp Ptgs2 Scarf2 Serpinb1b Serpinb9b
Zfp628	Th17_downOnly.txt	Th17_downOnly	1248	up	24	12	0.0666551010142	1	5430427O19Rik Adamts17 Akr1c12 Akr1c13 Cd226 Cmtm7 D430041D05Rik Fermt1 Kif26b Lsp1 Pde4a Rnf150
