	Batf	Etv6	Fosl2	Hif1a	Irf4	Maf	Nfe2l2	Rorc	Stat3
Gm20098	39.0	5.0	28.0	4.0	23.0	23.0	2.0	7.0	26.0
Gm2011	2.0	2.0	1.0	2.0	2.0	0	0	0	0
Gm20110	3.0	0	3.0	0	3.0	0	0	0	0
Gm20125	25.0	0	18.0	0	3.0	6.0	0	1.0	0
Gm20139	36.0	0	24.0	0	19.0	19.0	0	5.0	19.0
Gm20199	4.0	2.0	2.0	2.0	3.0	2.0	1.0	1.0	4.0
Gm20219	1.0	0	0	0	0	0	0	0	0
Gm20257	4.0	0	5.0	1.0	4.0	1.0	0	0	0
Gm20300	2.0	2.0	2.0	0	1.0	0	0	0	0
Gm20324	2.0	0	2.0	0	1.0	0	0	0	0
Gm20337	8.0	2.0	2.0	2.0	3.0	4.0	0	0	1.0
Gm20597	5.0	0	5.0	0	0	0	0	2.0	0
Gm20604	8.0	4.0	7.0	1.0	4.0	1.0	0	0	5.0
Gm20605	0	0	0	0	2.0	0	0	4.0	0
Gm20735	4.0	0	7.0	0	6.0	5.0	0	3.0	2.0
Gm20743	2.0	0	4.0	0	0	0	0	0	0
Gm20744	2.0	0	2.0	0	1.0	0	0	0	0
Gm20745	3.0	0	0	0	0	0	0	0	0
Gm20750	8.0	0	6.0	0	6.0	4.0	0	2.0	7.0
Gm20753	8.0	0	7.0	0	2.0	3.0	0	0	0
Gm20755	15.0	0	12.0	0	8.0	5.0	0	0	3.0
Gm20759	9.0	0	9.0	0	3.0	0	0	0	2.0
Gm20939	2.0	0	1.0	0	1.0	1.0	0	0	0
Gm21057	8.0	0	2.0	0	1.0	3.0	0	0	0
Gm2115	5.0	0	4.0	0	2.0	0	0	2.0	0
Gm21284	9.0	0	8.0	0	2.0	4.0	0	2.0	1.0
Gm2176	4.0	0	2.0	0	2.0	1.0	0	0	0
Gm21948	7.0	6.0	6.0	1.0	2.0	2.0	4.0	3.0	0
Gm21949	11.0	0	5.0	0	2.0	5.0	0	0	0
Gm21975	6.0	0	2.0	0	0	2.0	1.0	1.0	0
Gm21992	15.0	1.0	6.0	1.0	7.0	5.0	1.0	1.0	1.0
Gm23363	1.0	0	0	0	0	0	0	0	0
Gm24148	6.0	2.0	6.0	2.0	8.0	3.0	10.0	1.0	0
Gm2447	7.0	0	4.0	0	3.0	4.0	0	1.0	2.0
Gm24572	2.0	1.0	1.0	1.0	3.0	1.0	0	1.0	0
Gm2518	5.0	4.0	3.0	3.0	2.0	1.0	0	1.0	1.0
Gm25500	8.0	2.0	4.0	3.0	3.0	3.0	0	1.0	0
Gm26688	1.0	2.0	0	0	0	0	0	0	0
Gm26705	0	0	0	0	0	1.0	0	0	0
Gm27162	31.0	1.0	20.0	0	22.0	24.0	0	8.0	20.0
Gm2762	7.0	0	6.0	0	4.0	3.0	0	1.0	1.0
Gm27740	3.0	2.0	0	0	2.0	0	0	0	0
Gm28042	5.0	2.0	1.0	0	0	2.0	0	0	0
Gm2848	1.0	0	2.0	0	0	0	0	0	0
Gm29682	1.0	0	0	0	0	1.0	0	0	1.0
Gm29684	7.0	0	6.0	0	0	4.0	0	0	1.0
Gm29685	13.0	0	14.0	0	3.0	5.0	0	4.0	5.0
Gm29687	12.0	0	8.0	0	1.0	5.0	0	0	0
Gm29811	13.0	0	6.0	0	1.0	2.0	0	3.0	2.0
Gm2a	8.0	0	4.0	2.0	2.0	2.0	0	5.0	0
Gm30505	2.0	0	0	0	0	2.0	0	0	0
Gm31763	12.0	0	7.0	0	1.0	0	0	0	1.0
Gm3219	0	0	0	0	0	0	3.0	0	0
Gm3230	10.0	0	5.0	0	2.0	5.0	0	1.0	1.0
Gm32511	3.0	0	4.0	0	0	0	0	0	0
Gm3336	4.0	0	4.0	0	1.0	2.0	0	0	0
Gm3363	1.0	0	0	0	3.0	0	0	0	0
Gm340 	4.0	0	2.0	0	0	1.0	0	0	0
Gm35978	10.0	2.0	8.0	3.0	7.0	6.0	0	3.0	4.0
Gm37013	8.0	2.0	15.0	0	2.0	3.0	2.0	1.0	0
Gm3704	4.0	0	2.0	0	0	2.0	0	1.0	2.0
Gm3716	4.0	0	1.0	0	3.0	1.0	0	0	1.0
Gm38397	4.0	0	4.0	0	1.0	0	0	0	0
Gm38402	0	2.0	0	0	0	0	0	0	0
Gm38403	2.0	0	2.0	0	1.0	0	0	0	0
Gm38404	4.0	0	2.0	1.0	2.0	4.0	0	1.0	0
Gm38415	2.0	0	0	0	0	0	0	0	0
Gm38425	0	0	0	0	0	1.0	0	0	0
Gm38426	6.0	0	8.0	1.0	4.0	2.0	1.0	1.0	0
Gm38431	6.0	3.0	6.0	4.0	5.0	4.0	1.0	1.0	0
Gm38436	7.0	0	4.0	1.0	6.0	2.0	0	1.0	1.0
Gm38666	8.0	2.0	15.0	0	2.0	3.0	2.0	1.0	0
Gm38667	6.0	0	11.0	0	1.0	2.0	1.0	1.0	0
Gm38670	3.0	0	4.0	0	0	0	0	1.0	1.0
Gm38671	1.0	0	2.0	0	0	0	0	0	0
Gm4013	6.0	3.0	4.0	0	4.0	4.0	1.0	0	4.0
Gm4262	2.0	0	1.0	0	1.0	0	0	0	0
Gm4278	7.0	0	4.0	0	4.0	4.0	1.0	1.0	3.0
Gm4285	15.0	4.0	12.0	1.0	11.0	9.0	1.0	2.0	10.0
Gm4349	3.0	0	0	0	1.0	0	0	0	0
Gm4371	3.0	0	0	0	0	0	0	0	0
Gm4432	8.0	0	2.0	0	3.0	2.0	0	0	0
Gm44504	2.0	0	0	0	0	0	0	0	0
