	Atf6	Batf	Bcl11b	Crem	Ddit3	Egr2	Etv6	Fosl2	Hif1a	Id2	Ikzf3	Ikzf4	Irf4	Irf8	Lef1	Maf	Nfatc2	Nfe2l2	Pou2af1	Prkrir	Rorc	Satb1	Sp4	Stat3	Zeb1	Zfp36l2
AA465934	0	0	0	0	0	0	0	0	0	0	-0.686741665468	0	0	0	0	0	0	0	0	0	0	0	0	-0.676961739006	0	0
AA467197	0	0	-0.675208869703	0	0	0	-0.652407112109	0	0	0	0	0.556026431652	0.666772232313	0	0	-0.681934827998	-0.626283938248	0	0	-0.663191776027	-0.637697466617	0	0	0	0	0
AB124611	0	0	0	0	0	0	0	0.680332232943	0	0.655977641001	0	0	0	0	0	0	0	0.662908967363	0	0.644565876794	-0.617830409795	0	0	0	0	0
AI413582	0	0	0	0	0	0	0	0	0.59412386132	0	0	0	0	0	0	0	0	0.654470314892	0	0	0	0	-0.863471986294	0	0	0
AI450353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.599372798107	0	0	0	0	0	0	0	0	0
AI467606	0	0	0	0	0	0.240303106342	0	0	0	0	0	0	0	0.358050670257	0.628738952645	0	0	0	0	0	0	0	0	0	0	0
AI504432	0	0.62183433088	0.666840477392	0	0	0.663632958644	0	-0.684193680192	0	0	-0.677019565622	0	0.684201432248	0	0	-0.678009846424	0.666511120703	0	0	0	0.67954296376	0	0	0.68656627262	0	0.659149553621
AI597479	0	0	0	0	0	0	0	0	0	0	-0.624086526833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AI846148	0	0	0	0	0	0	0	0	0.630967302858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AI987944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.649162034558	0	0	0	0	0	0	0	0	0
AU022252	0	0	0	0	0	0	0	0	0.664914779272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AU040320	-0.639208186965	0	0	0	0	0	-0.671746501059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AW112010	0	0.688014255182	-0.646429285661	0	0	0	0.642957666654	0	0.626187180098	0.62581034857	0.655315960445	0	0	0.405518525416	0	-0.632240079715	0.679519226341	0	0	0	-0.6871247668	0	0	-0.681428845106	0	0
AW209491	0	0	0	0	0	0	0	0	0	0	-0.608672119457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AW549877	0	-0.643715048864	0	0	0	0	0	0.643325596649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY074887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.624353974933	0	0	0	0	0	0	0	0
Aacs	0	-0.645724523776	0	0	0	0	0	0	0	0	-0.638705818237	0	0	0	0.641960695054	0	0	0	0	0	0	0	0	0	0	0
Aamp	0	0	0	0	0	0	0	0	0.645773517989	0	0	0	0	0	0.608042890414	0	0	0	0	0	0	0	0	0	0	0
Aars	0	0	0.67519308172	0	0	0.671053869274	0	0	0	0	0	0	0.633103670572	0	0	0	0	0	0	0	0	0	0	0	0	0
