Regulator	Target	Weight	stroke
Hif1a	Btg1	1.8282	rgb(222,130,131)
Maf	Btg2	-1.8077	rgb(119,157,234)
Stat3	Btg2	1.8046	rgb(222,131,132)
Fosl2	Btg2	-1.7543	rgb(122,159,234)
Irf4	Btla	1.9408	rgb(222,124,125)
Stat3	Btla	1.7627	rgb(222,133,134)
Batf	C1qtnf6	-1.5425	rgb(133,166,232)
Etv6	C2cd2l	-1.8761	rgb(115,155,235)
Batf	C920009B18Rik	1.9349	rgb(222,125,125)
Stat3	C920009B18Rik	1.9041	rgb(222,126,127)
Fosl2	C920009B18Rik	1.8074	rgb(222,131,132)
Batf	Cacnb3	1.8277	rgb(222,130,131)
Irf4	Cacnb3	1.9022	rgb(222,126,127)
Fosl2	Cad	-1.5144	rgb(135,167,231)
Irf4	Calm2	1.5086	rgb(221,145,146)
Rorc	Calm2	-1.5185	rgb(135,167,231)
Irf4	Calm3	1.7725	rgb(222,132,133)
