TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Zeb2	Unc13b	0.94565	50.58	0.579	rgb(223,106,108)	1.994	2,2
Zfp184	Nlrc3	-0.94565	50.58	-5.8E-01	rgb( 91,140,239)	1.994	2,2
Zfp358	Sorcs2	-0.94565	50.58	-5.8E-01	rgb( 92,141,239)	1.994	2,2
Zfp629	Ttbk2	0.94565	50.58	0.579	rgb(223,106,108)	1.994	2,2
Zkscan17	Cs	0.94565	50.58	0.579	rgb(223,106,108)	1.994	2,2
Zkscan17	Sh2b1	0.94565	50.58	0.579	rgb(223,106,108)	1.994	2,2
Foxo3	Ggct	-0.94338	50.57	-5.7E-01	rgb( 94,142,238)	1.9938	None
Gfi1	Tmem176b	0.94338	50.57	0.565	rgb(223,109,110)	1.9938	2,2
Hif1a	Fam114a2	0.94338	50.57	0.57	rgb(223,108,109)	1.9938	2,2
Hif1a	Fzd7	0.94338	50.57	0.571	rgb(223,108,109)	1.9938	2,2
Hif1a	Gys1	0.94338	50.57	0.57	rgb(223,108,109)	1.9938	2,2
Hmg20b	Pmepa1	-0.94338	50.57	-5.7E-01	rgb( 94,142,239)	1.9938	2,2
Irf2	Ncoa2	0.94338	50.57	0.574	rgb(223,107,109)	1.9938	None
Nfatc1	Rcl1	0.94338	50.57	0.575	rgb(223,107,108)	1.9938	None
Nfatc2	Il3	0.94338	50.57	0.566	rgb(223,109,110)	1.9938	2,2
Nr1d1	Edem1	0.94338	50.57	0.574	rgb(223,107,108)	1.9938	None
Nr1d2	Il17f	0.94338	50.57	0.571	rgb(223,108,109)	1.9938	None
Ovol1	Lbh	0.94338	50.57	0.568	rgb(223,108,110)	1.9938	2,2
Prdm16	1190002N15Rik	0.94338	50.57	0.574	rgb(223,107,108)	1.9938	2,2
Rxra	Edaradd	0.94338	50.57	0.573	rgb(223,108,109)	1.9938	None
Sall3	Slc1a4	0.94338	50.57	0.568	rgb(223,109,110)	1.9938	None
Sall4	Sema4d	0.94338	50.57	0.567	rgb(223,109,110)	1.9938	2,2
Smad3	Ptgfrn	0.94338	50.57	0.567	rgb(223,109,110)	1.9938	None
Sp3	Abhd14b	0.94338	50.57	0.565	rgb(223,109,110)	1.9938	None
Sp3	Anln	0.94338	50.57	0.571	rgb(223,108,109)	1.9938	None
Tead1	Adamts6	0.94338	50.57	0.57	rgb(223,108,109)	1.9938	None
C030039L03Rik	Ankzf1	0.94338	50.57	0.567	rgb(223,109,110)	1.9938	2,2
Eea1	Gigyf2	0.94338	50.57	0.572	rgb(223,108,109)	1.9938	2,2
Kdm5b	Rasgef1b	-0.94338	50.57	-5.7E-01	rgb( 94,142,239)	1.9938	2,2
Litaf	Tfpi	-0.94338	50.57	-5.7E-01	rgb( 94,142,239)	1.9938	2,2
Skil	Acvr1b	0.94338	50.57	0.571	rgb(223,108,109)	1.9938	2,2
Skil	Rab19	-0.94338	50.57	-5.7E-01	rgb( 93,142,239)	1.9938	2,2
Tal2	Marcksl1	0.94338	50.57	0.567	rgb(223,109,110)	1.9938	2,2
