TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Cebpg	Slc7a3	0.94317	50.63	0.634	rgb(224, 96, 97)	1.9944	2,2
Crem	Agpat9	0.94317	50.63	0.633	rgb(224, 96, 97)	1.9944	2,2
Etv6	Tesk2	-0.94317	50.63	-6.3E-01	rgb( 80,134,241)	1.9944	None
Hic1	Itga4	0.94317	50.63	0.63	rgb(224, 97, 98)	1.9944	None
Irf2	Gimap7	0.94317	50.63	0.631	rgb(224, 96, 98)	1.9944	None
Irf4	Peli2	0.94317	50.63	0.633	rgb(224, 96, 97)	1.9944	None
Irf5	Dcxr	0.94317	50.63	0.634	rgb(224, 96, 97)	1.9944	2,2
Klf2	Gpr146	0.94317	50.63	0.628	rgb(224, 97, 98)	1.9944	None
Maf	Emp1	0.94317	50.63	0.628	rgb(224, 97, 98)	1.9944	None
Patz1	Il2ra	-0.94317	50.63	-6.3E-01	rgb( 81,134,241)	1.9944	None
Ppard	Coro7	0.94317	50.63	0.626	rgb(224, 98, 99)	1.9944	None
Rela	Ifit2	-0.94317	50.63	-6.3E-01	rgb( 81,134,241)	1.9944	None
Sp2	Dcakd	0.94317	50.63	0.625	rgb(224, 98, 99)	1.9944	None
Sp4	H2afx	-0.94317	50.63	-6.3E-01	rgb( 80,133,241)	1.9944	None
Tcf12	H2-Ab1	-0.94317	50.63	-6.3E-01	rgb( 80,134,241)	1.9944	None
Tead1	Nupr1	0.94317	50.63	0.626	rgb(224, 97, 99)	1.9944	2,2
Vax2	Avpi1	0.94317	50.63	0.633	rgb(224, 96, 97)	1.9944	None
Vax2	Dab2	0.94317	50.63	0.634	rgb(224, 96, 97)	1.9944	2,2
Xbp1	Rpl36al	-0.94317	50.63	-6.3E-01	rgb( 80,134,241)	1.9944	None
Zbtb7b	Synpo	0.94317	50.63	0.629	rgb(224, 97, 98)	1.9944	None
Whsc1	Rfwd3	0.94317	50.63	0.631	rgb(224, 97, 98)	1.9944	2,2
Zfp329	Gripap1	0.94317	50.63	0.627	rgb(224, 97, 99)	1.9944	2,2
Zfp367	Cenpm	0.94317	50.63	0.626	rgb(224, 97, 99)	1.9944	2,2
Zfp536	Pls1	0.94317	50.63	0.63	rgb(224, 97, 98)	1.9944	2,2
Zfp629	Dnmt3b	0.94317	50.63	0.634	rgb(224, 96, 97)	1.9944	2,2
Creb3l2	Syn1	0.94107	50.62	0.615	rgb(224, 99,101)	1.9942	2,2
Dbp	Nkd2	-0.94107	50.62	-6.2E-01	rgb( 82,135,241)	1.9942	2,2
Egr2	Mpzl3	0.94107	50.62	0.619	rgb(224, 99,100)	1.9942	2,2
Elf1	Rnf125	0.94107	50.62	0.624	rgb(224, 98, 99)	1.9942	None
Epas1	Gsn	0.94107	50.62	0.62	rgb(224, 99,100)	1.9942	2,2
Etv4	Dusp9	0.94107	50.62	0.618	rgb(224, 99,100)	1.9942	2,2
Foxo3	Zcchc2	0.94107	50.62	0.62	rgb(224, 99,100)	1.9942	None
