	media(1h)	Th0(1h)	Th0(3h)	Th0(6h)	Th0(16h)	Th0(48h)	Th17(1h)	Th17(3h)	Th17(6h)	Th17(9h)	Th17(12h)	Th17(16h)	Th17(24h)	Th17(48h)	Th1(48h)	Th2(48h)	Treg(48h)
Rad54l	4.88185	4.24169	4.85944	4.80119	8.70544	10.1418	4.19739	5.40816	5.05883	5.72261	6.15465	7.58451	10.3993	10.0992	 10.144	10.2362	10.0823
Rad54l2	11.2437	10.9868	11.1072	11.2333	11.3226	11.3728	11.3546	11.3079	11.2654	 11.245	11.3836	11.5281	11.6249	 11.471	11.3217	11.2641	11.3628
Rad9a	9.88197	  9.582	9.14026	9.00752	9.12688	9.58969	9.06221	8.85649	9.02739	 9.3265	9.07761	9.25147	 10.035	9.98817	 9.5254	9.68064	9.59603
Rad9b	5.9379	6.2461	6.7745	 6.865	6.5567	6.7589	6.2289	6.9807	7.1169	6.8931	6.3473	6.2125	5.9428	 6.263	6.4863	6.5629	6.0781
Radil	3.0418	3.0418	3.0418	3.0418	3.0418	3.6069	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.6235	3.8584	3.5272	3.3654	3.2999
Rae1	 10.119	 10.025	10.7894	11.1503	11.2598	10.6754	9.78758	10.9521	11.1863	11.3559	 11.481	11.4762	11.0645	10.8195	10.4403	10.7346	10.5917
Raet1a	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.7207	3.0418	3.0418	3.0418	3.4824	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Raet1b	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Raet1c	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Raet1d	3.6309	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Raet1e	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Raf1	11.5433	11.4131	11.2979	11.2543	11.3798	11.1235	11.5514	11.3183	11.2003	11.4204	11.2666	11.2946	11.0859	11.1492	11.1153	11.5165	11.0436
Rag1	3.0418	3.0418	3.0418	4.0009	3.4778	3.0418	3.0418	3.5777	4.2069	4.6208	4.7617	4.3403	4.1127	3.0418	3.0418	3.3654	4.2976
Rag2	3.0418	3.7476	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2386	3.0418	3.0418	3.2316	3.0418	3.0418
Rai1	10.7059	10.5434	11.6152	11.1717	11.2037	11.0743	10.8119	11.3618	11.2312	11.1419	11.0577	11.2946	10.8548	 10.797	10.7154	 10.854	11.4854
Rai14	3.0418	3.0418	3.0418	3.0418	4.0027	7.8202	3.0418	3.0418	3.5282	3.7423	4.0123	4.2581	5.2382	6.8547	7.4985	9.5885	 7.565
Rai2	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4418	3.0418	3.0418	3.5272	3.0418	3.0418
Rala	10.1262	10.0499	9.75369	9.53868	9.35111	9.50403	9.79665	9.41361	9.56256	9.77265	9.60207	9.30436	9.60565	9.95794	9.75372	9.52569	9.98338
Ralb	 7.099	6.8123	7.4655	7.9231	8.2636	8.5391	7.2619	7.9228	8.0687	7.8518	7.9245	8.2828	8.5491	  9.39	8.8341	8.8546	8.9111
Ralbp1	11.5099	11.0538	10.5534	10.5436	10.7862	10.8543	10.5405	10.2982	10.6649	 11.188	11.0645	11.0454	10.7949	11.1804	10.8849	10.9077	11.6367
Ralgapa1	11.5426	11.7144	12.2428	12.0953	11.7553	11.5443	 11.383	11.9486	11.9924	11.4771	11.4704	11.5365	 11.163	11.4362	11.6669	11.4503	11.5535
Ralgapa2	10.5658	10.6645	10.2761	10.4125	 9.9607	10.4092	10.4892	 9.8881	9.99806	 9.6886	9.68037	 9.8941	9.28936	10.2261	10.4843	10.5464	9.78934
Ralgapb	11.9795	11.9831	11.8986	11.5184	11.2111	11.2074	11.6547	11.4681	11.2548	11.0062	11.0147	 11.006	10.9405	11.2661	11.1768	11.1496	11.1374
Ralgds	8.3943	8.1684	 7.698	8.0103	7.8233	8.2772	 8.309	8.0283	8.1858	8.3967	8.0563	8.1933	7.9157	8.8047	7.9931	8.6774	8.3855
Ralgps1	9.0232	9.0364	8.1352	8.3199	7.5025	6.8858	 9.042	7.3092	8.0585	8.0043	7.9876	8.0589	7.5529	7.4292	6.7365	6.8615	7.3003
Ralgps2	10.4341	10.2889	 9.5123	9.40846	9.04518	8.73823	9.96161	9.13548	9.25195	9.02852	8.80791	8.81581	8.94054	8.79378	8.73573	8.45087	8.42062
Raly	12.1854	12.2927	11.9657	12.0168	12.4106	11.9949	12.5683	12.4721	12.1676	12.3335	12.3351	12.4644	12.3999	12.1603	11.9483	12.0949	12.3572
Ralyl	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ramp1	8.3208	8.1885	 7.319	5.8917	5.0957	7.2688	8.3342	7.4201	5.4668	5.8034	6.3473	6.6504	7.4045	7.3412	6.5976	5.8795	  8.11
Ramp2	3.0418	3.0418	3.0418	3.0418	3.0418	3.7226	3.0418	3.0418	3.5282	3.0418	3.0418	3.0418	3.4545	3.0418	3.7571	  3.53	3.0418
Ramp3	12.0673	12.7552	10.9853	8.24398	4.00679	9.66895	11.5629	 10.665	6.92756	5.51333	3.91305	3.86633	3.62352	 7.6171	9.55091	 9.2706	 6.1568
Ran	9.79872	9.86315	11.0227	11.5563	12.1596	12.0518	10.7557	11.9377	12.2382	12.7239	12.6224	12.5232	12.9248	12.0785	11.8435	12.2733	12.0414
Ranbp1	9.75523	 10.312	11.6029	12.2382	 12.617	 12.407	10.6277	11.8451	12.4267	12.6003	 12.651	12.8189	12.9157	12.4853	12.2987	12.5532	12.1989
Ranbp10	13.4519	12.7234	11.1578	10.4258	10.1631	10.2612	11.3162	9.85445	9.91578	10.0031	9.90197	 9.9394	9.87952	10.2198	10.0257	10.0882	10.2258
Ranbp17	3.0418	3.0418	3.0418	3.0418	3.0418	4.8321	3.0418	3.0418	3.0418	3.0418	3.4824	3.4599	4.2487	 4.931	5.0099	4.7407	4.4164
Ranbp2	 14.277	14.5446	 13.898	13.8513	13.4781	13.1694	14.2793	13.6928	13.4465	12.8068	 13.036	13.1694	12.7903	13.3714	13.5299	13.3179	13.2727
Ranbp3	10.7831	10.7663	11.2464	11.2661	11.1548	10.6544	10.9898	11.5045	11.4467	11.6823	11.5203	11.3996	11.4364	10.7962	10.5157	10.7472	 10.681
Ranbp3l	5.6822	4.8143	4.2742	4.3753	3.6561	3.6069	4.7526	3.0418	3.5282	3.7423	3.0418	3.2386	3.8591	3.6748	3.9509	  3.53	3.4842
Ranbp6	10.9938	10.7326	9.83829	9.43494	9.36364	9.03978	10.4628	9.67129	9.26309	9.10833	9.37873	9.17859	9.09177	 9.0879	9.40346	9.28305	9.30548
Ranbp9	11.6571	11.5471	 10.858	10.5016	10.9884	 11.161	10.9141	10.4834	10.2859	 10.336	10.6056	10.7335	10.8114	11.3207	11.2121	 11.169	10.9511
Rangap1	10.9789	10.9476	11.6103	11.9053	11.9531	12.6404	 11.463	12.2128	12.1258	12.2199	 12.303	 12.362	13.0051	12.4664	12.6333	12.8415	12.5533
Rangrf	5.6822	5.0215	5.4107	5.9823	6.0155	  5.47	4.6375	5.3669	5.9687	6.4589	6.3194	6.3912	5.9905	 5.478	5.2421	5.4154	4.9046
Rap1a	9.67396	10.2103	10.5245	10.4231	 10.303	9.73589	  10.34	10.4339	10.1629	10.3676	10.7578	10.8291	 10.598	10.1334	 10.127	10.1379	 10.023
Rap1b	14.0099	14.3032	13.0199	12.9001	13.2186	13.1255	13.9019	12.6601	12.4644	 12.419	12.9377	13.3247	14.0618	13.5375	13.3674	13.3746	12.9425
Rap1gap	3.8693	3.7476	3.5576	3.6022	3.4778	4.6953	3.7207	3.7955	3.5282	3.0418	3.4824	3.7025	3.9526	 4.524	4.5513	4.7365	5.0258
Rap1gap2	5.9042	5.0215	3.0418	4.8705	4.6334	 5.692	5.2064	3.9599	4.5214	3.8957	4.3258	4.6217	5.3923	4.6992	5.3486	5.2357	4.6237
Rap1gds1	10.8822	 11.066	11.2318	11.3944	11.5939	11.4074	 11.668	11.4587	 11.514	11.3904	11.5267	11.6088	 11.537	11.9078	11.4704	11.4272	 11.826
Rap2a	7.9419	7.8285	7.4999	 7.406	7.4071	9.2992	7.4114	7.1543	7.7953	 7.782	7.4362	7.3734	9.1939	8.9242	9.2891	9.3161	9.5391
Rap2b	10.3763	11.0538	10.3602	 9.9204	9.76845	9.87095	10.1048	9.87932	9.72117	9.60487	8.90896	8.71183	9.38618	9.27587	  9.973	9.75272	9.46409
Rap2c	 11.278	11.6069	11.3155	11.2074	10.6699	10.1712	11.4138	11.2464	11.0814	10.7045	10.9193	10.5845	10.7191	10.2906	 10.618	10.6866	10.4877
Rapgef1	 12.402	12.3259	12.8123	12.9168	12.7104	 12.001	12.4754	12.6913	12.7674	12.5746	12.3323	12.5639	11.9161	11.9658	11.9044	11.9664	11.6344
Rapgef2	10.3794	10.6411	9.88936	9.27707	8.88654	  7.988	10.4027	9.05668	 9.0169	8.81038	8.59622	8.87014	  8.623	8.20432	7.94675	 7.9624	7.85407
Rapgef3	5.0859	4.4152	4.6733	4.1428	4.1708	4.0876	4.7526	4.9803	4.8714	4.5535	4.2565	3.8122	4.0364	4.7795	4.1197	4.0635	3.7884
Rapgef4	10.1704	  9.939	7.71276	6.17312	4.95211	6.76178	10.0553	6.99378	5.10166	4.62081	4.01235	 4.3729	5.26516	6.35508	 6.6686	6.20126	7.25916
Rapgef5	3.6309	4.2417	4.1722	5.4115	6.3064	6.6511	3.7207	5.1879	6.3536	6.2848	6.4795	6.9182	7.0293	 7.742	6.5133	6.5367	6.1679
Rapgef6	14.1319	14.3274	13.4877	13.2032	12.8504	12.3665	15.4269	14.2678	13.2838	12.9231	 12.673	 12.317	11.7112	12.1841	12.4413	12.2741	 12.367
Rapgefl1	3.6309	4.2417	4.4517	4.2658	4.8924	4.7366	4.3652	4.5031	4.9209	5.0082	4.5097	4.9464	4.8973	4.6289	4.4331	4.3418	4.4266
Raph1	8.79345	8.75675	9.74119	8.88227	9.33402	 10.857	7.75994	8.83121	 8.8731	8.79438	8.83017	9.22732	9.25291	11.6719	10.9857	10.6225	10.4929
Rapsn	4.0486	4.4152	4.2742	3.6022	5.2552	4.6328	4.5097	4.6602	4.0013	4.0232	 4.182	4.0975	4.5728	5.1265	 4.804	5.0147	4.7346
Rara	10.4952	11.3644	10.5877	10.5363	 10.275	9.23261	10.9699	11.0103	11.3074	11.4131	10.9613	10.9422	10.4477	10.0921	8.68717	9.24335	10.4651
Rarb	5.7602	5.5609	4.9156	4.8705	4.3617	4.5406	5.2064	4.6602	4.3759	 4.134	4.5097	 4.041	 4.423	4.2944	4.3814	4.2021	4.0712
Rarg	8.4924	 8.096	6.8699	7.2353	7.0184	 8.214	 6.714	5.9112	6.4823	7.4874	7.1433	6.8599	7.1169	7.7275	7.8531	 7.795	8.0782
Rarres1	3.0418	3.0418	3.0418	3.0418	3.0418	3.6069	3.0418	3.5777	3.7264	3.0418	3.6625	3.3192	3.4545	3.4542	3.3094	3.4054	3.2895
Rarres2	3.0418	3.7476	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2386	3.0418	3.0418	3.0418	3.0418	3.0418
Rars	10.8247	11.2003	 11.751	12.2051	12.2976	11.7393	 11.334	11.8724	12.0692	12.1581	 12.334	12.2683	11.9708	11.9069	11.9496	11.8891	11.6777
Rars2	7.15663	7.69469	9.50387	9.74319	10.1492	10.2608	7.36327	9.41361	9.63464	9.66592	9.87725	9.88433	9.81577	9.77714	10.1885	10.1842	9.81193
Rasa1	12.4509	12.2939	12.5077	11.3338	10.4694	10.8109	11.7956	11.3255	10.5062	10.1895	 10.186	10.2856	 10.276	10.5819	10.6902	10.6961	11.5633
Rasa2	11.7986	 11.949	11.8961	11.6671	10.7691	10.5789	11.7895	11.8017	11.6618	11.1545	 11.246	 11.196	11.0005	10.7899	 10.635	10.5878	10.5361
Rasa3	13.1034	12.8561	11.6793	10.2204	9.34255	9.46287	 12.398	10.3938	10.9359	11.4215	11.2229	11.1756	11.0364	9.54693	8.92658	9.17683	10.5704
Rasa4	5.9709	 5.846	5.5862	6.0112	6.2665	5.5477	 5.542	6.1903	6.6283	6.6715	6.5888	6.5881	6.3235	7.2544	 7.599	6.0972	6.6172
Rasal1	8.8248	8.0197	8.9423	9.6055	 8.552	8.3749	8.5852	 8.268	 8.462	8.0209	7.3701	6.9295	6.3721	6.9088	7.9343	7.8222	6.7089
Rasal2	3.0418	3.7476	4.8594	5.8602	6.4852	6.8397	3.7207	5.1879	6.0753	5.8547	6.0039	6.5435	6.3601	7.2544	6.8548	6.8677	6.6325
Rasal3	12.7273	12.4326	 12.157	11.4118	11.5444	 10.471	11.9998	11.3261	 11.394	11.6475	11.6374	11.7278	11.3438	10.8904	10.2682	10.7226	11.0276
Rasd1	4.4395	5.1135	3.9261	4.1428	4.0907	5.7973	4.5097	4.7985	3.8765	4.3227	 3.913	3.7657	4.7461	5.0929	5.4228	5.6478	5.2467
Rasd2	3.0418	3.0418	3.0418	4.0009	3.6484	 3.996	3.0418	3.5777	3.7264	4.3227	 3.913	4.3254	4.3681	 3.891	3.4181	4.1823	3.2895
Rasef	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Rasgef1a	6.0654	5.5609	6.7169	5.3198	3.9043	5.2193	6.3666	 5.235	4.3759	4.4819	 3.913	3.7118	3.8591	4.6012	5.2552	4.6176	5.0816
Rasgef1b	7.6828	 7.652	7.5252	8.2319	8.8984	7.1479	7.3303	7.7172	6.6144	6.3571	6.7011	6.6502	6.6429	6.0094	7.1579	6.8252	8.2373
Rasgef1c	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2316	3.0418	3.3905
Rasgrf1	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.0418	3.5777	3.0418	3.0418	3.0418	3.0418	3.4545	3.0418	3.5272	3.0418	3.0418
Rasgrf2	7.0389	7.0941	6.2522	5.7949	5.6168	5.5441	7.0949	5.3669	5.2222	4.7447	 3.913	4.4293	4.4753	5.2034	5.4572	5.4982	4.3243
Rasgrp1	12.7046	13.1226	13.9783	12.9271	11.4342	 11.521	13.2607	12.1631	11.3133	10.4537	10.2248	10.1486	9.38178	10.5543	11.0837	11.7156	 11.481
Rasgrp2	12.2643	11.8377	9.18842	8.05877	6.96024	5.35666	11.3015	8.21308	7.10705	6.95222	6.76445	6.38278	6.92801	6.17151	5.17802	5.41097	5.85928
Rasgrp3	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	4.1974	3.5777	4.2069	3.0418	3.0418	3.4663	3.0418	 3.471	3.4181	3.9456	 5.526
Rasgrp4	7.5495	7.5157	6.6416	6.9262	6.5208	6.1988	6.6073	6.2131	6.3022	6.4424	6.3334	6.6124	6.4074	7.0268	5.7903	7.0476	7.5834
Rasip1	4.3254	3.7476	4.1722	4.5652	4.9785	4.2755	3.9934	3.9599	4.7658	4.6844	4.9307	5.0456	4.9324	4.3671	 4.143	4.7038	4.8558
Rasl10a	3.0418	3.0418	3.0418	3.8295	3.0418	3.6069	3.0418	3.0418	3.5282	3.0418	3.0418	3.0418	3.0418	3.7513	3.7138	3.6239	3.5476
Rasl10b	3.0418	3.0418	3.5576	3.0418	3.0418	3.4748	3.0418	3.5777	3.8765	3.0418	3.0418	3.5405	3.0418	3.4542	3.2316	  3.53	3.5476
Rasl11a	3.6309	3.7476	4.0578	3.8295	4.1708	4.9206	4.1974	3.5777	4.2069	 4.134	3.6625	3.8122	 4.423	4.3632	 4.603	4.3543	4.2012
Rasl11b	6.9763	6.9833	6.8699	6.2232	5.9696	6.3379	7.2619	 6.954	5.8291	5.9753	6.3194	6.4416	6.5825	6.0544	5.9424	6.0495	6.9565
Rasl12	3.0418	3.0418	3.0418	3.0418	3.0418	3.7226	3.0418	3.0418	3.0418	3.5395	3.0418	 3.245	3.0418	4.3579	3.9234	4.0785	3.2999
Rasl2-9	3.0418	4.5643	4.0578	4.0009	4.2301	4.8621	4.1974	3.7955	4.4511	4.9095	4.5097	5.0125	5.2107	4.7795	4.9259	4.6097	4.8768
Rassf1	9.87984	9.49219	 9.1511	9.34566	9.16358	9.19413	9.73194	9.84366	9.78127	9.77102	9.76878	9.63154	9.83948	 10.101	9.37762	9.32529	9.62681
Rassf10	3.0418	3.0418	3.0418	3.0418	3.0418	3.7226	3.0418	3.0418	3.0418	3.5395	3.0418	3.0418	3.0418	3.0418	3.3375	3.3654	3.2895
Rassf2	11.6866	11.3982	11.3757	10.3541	10.6508	10.2689	10.5224	9.50548	8.97145	8.85117	8.93201	9.15408	 9.6069	9.79245	10.1082	10.2033	 10.733
Rassf3	12.8154	12.4902	9.25778	8.56498	9.05724	9.84434	11.4959	8.44506	8.17163	8.38393	8.67212	8.75246	8.80699	9.13439	9.76104	 9.3515	9.89505
Rassf4	 4.197	3.7476	3.7675	3.0418	3.7304	5.1774	3.7207	3.5777	3.5282	3.5395	3.6625	3.4418	3.4545	3.7708	5.0576	4.8794	5.9193
Rassf5	12.6359	12.5744	12.2898	11.5313	11.6773	11.6315	12.0843	12.4058	11.7276	11.7038	11.7188	11.6848	11.1289	11.5419	11.3486	11.8025	11.9444
Rassf6	3.0418	3.0418	3.0418	3.0418	3.0418	3.6844	3.7207	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2316	3.3654	3.0418
Rassf7	 6.341	 5.846	6.1243	6.2476	6.8761	6.8013	5.4813	5.5614	6.4823	6.6139	6.7225	6.8879	7.2963	7.1892	6.8973	6.9202	6.9194
Rassf8	5.9379	5.6229	4.6733	4.3753	4.4217	5.9111	4.6375	4.2145	5.0588	4.6208	4.3907	4.6588	4.3681	5.0874	5.4224	5.3414	5.0592
Rassf9	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Raver1	  9.926	 10.506	11.0476	11.3957	11.4111	10.3412	 10.162	10.6361	10.8594	  11.02	10.9042	11.1962	10.7098	10.3683	10.1285	10.3242	10.1155
Raver1-fdx1l	3.6309	3.0418	3.5576	3.6022	3.0418	3.0418	3.0418	3.7955	3.0418	3.0418	3.4824	3.0418	3.0418	3.4542	3.5471	3.3654	3.0418
Raver2	  8.23	7.8787	6.2724	5.3198	5.4241	5.9514	7.3633	5.3244	  4.65	4.4819	4.6172	5.0323	6.0667	5.3396	5.5911	5.6894	5.4613
Rax	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4545	3.0418	3.0418	3.3654	3.0418
Rb1	10.9044	11.3186	11.2577	10.4814	10.1854	10.7643	10.7619	11.1187	10.1096	9.67469	9.70466	9.97752	10.6081	11.0015	10.9297	 10.711	10.9339
Rb1cc1	12.1824	12.0591	10.2896	9.76213	9.23066	9.95077	11.4274	9.62163	9.37409	9.05293	8.88317	8.94483	8.85007	9.95581	10.1456	9.92964	10.1023
Rbak	9.3531	9.1118	8.9234	8.7281	8.3046	7.7925	9.1497	8.9332	 8.697	8.4426	8.3098	8.2467	7.8787	7.8256	7.9571	7.8635	7.8127
Rbakdn	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Rbbp4	12.1265	 12.143	12.1147	12.2594	12.5499	 12.515	12.0218	12.0018	12.1277	12.3503	12.5681	12.4385	13.1917	12.3744	 12.528	12.6105	12.5155
Rbbp5	10.7131	10.5837	 10.443	10.5914	10.5534	10.4039	10.1829	10.2969	10.4243	10.5135	10.5313	10.4726	10.5101	10.4973	10.4333	10.4134	10.3272
Rbbp6	11.7287	12.4215	12.1876	12.5665	  12.37	 12.335	12.2163	12.1706	12.5269	12.1408	12.1035	12.3315	  11.97	 11.992	12.2494	12.2297	12.0368
Rbbp7	10.8769	11.1476	11.6933	11.8761	12.4005	12.3652	10.6629	11.8965	11.8772	11.9282	12.1714	12.2552	12.4555	12.3299	12.4066	12.5004	12.3968
Rbbp8	11.0163	11.1113	  9.598	9.79725	9.80058	 10.641	9.92349	9.17045	 9.3068	8.77168	9.02927	9.47265	10.1176	10.8603	10.5747	 10.533	10.4922
Rbbp8nl	3.6309	3.0418	3.5576	3.0418	3.4723	3.0418	3.0418	3.0418	3.5282	3.0418	3.4824	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Rbbp9	7.0235	6.8381	7.5825	7.5777	7.6553	8.0882	6.5218	7.3808	7.2214	 7.167	7.3358	 7.198	7.3574	7.8853	7.9257	7.9497	7.6739
Rbck1	11.0075	10.9059	11.4071	11.3443	 11.472	11.4049	11.4819	11.8882	11.6732	11.8676	11.5369	11.2698	11.2512	11.2793	11.2053	11.3701	11.3956
Rbfa	 9.8989	9.35714	9.26777	9.05609	9.95189	9.72693	9.56507	9.25433	9.19726	9.89171	9.84725	10.0104	9.70283	9.55356	 9.5607	9.77037	9.65006
Rbfox1	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	 3.245	3.4545	3.0418	3.3094	3.2716	3.4049
Rbfox2	3.8693	3.0418	4.0578	4.0009	4.6998	5.6715	3.0418	4.0962	  4.65	4.8022	4.8062	 4.847	5.9748	7.0121	5.5654	5.7912	5.7549
Rbfox3	3.6309	3.0418	3.0418	3.6022	3.0418	3.0418	3.7207	3.5777	3.0418	3.0418	3.4824	3.7302	3.4545	3.0418	3.3094	3.0418	3.2895
Rbks	5.7602	5.6821	7.9977	7.9889	7.3027	6.8206	6.1546	7.9566	7.9468	7.5574	7.3701	 7.268	6.6625	6.9177	6.6849	6.7969	6.0895
Rbl1	10.0467	9.77648	8.97619	8.78681	10.7469	10.6596	 10.504	8.84931	 8.7738	9.03942	9.61779	10.2898	10.8538	10.8597	10.6783	10.7009	10.7844
Rbl2	11.7233	11.5683	9.80264	8.93517	9.21085	10.0976	11.0159	8.74103	8.87601	9.04484	8.97703	8.82175	9.55838	10.2059	9.97701	9.87131	10.0822
Rbm10	 9.4014	9.36596	9.06199	9.24151	9.96743	9.88307	9.08212	9.59614	9.88006	 10.275	10.4135	10.3786	10.1712	9.71221	9.67662	9.98818	9.93686
Rbm11	4.3254	3.7476	3.7675	3.0418	3.0418	4.0086	3.9934	3.5777	3.0418	3.0418	3.0418	3.0418	3.4545	3.7708	4.0001	4.0029	4.2976
Rbm12	11.4912	11.8875	11.0301	10.9307	10.9859	10.5066	11.8038	11.0985	10.8238	10.7763	10.8202	10.9708	10.5148	10.3268	 10.398	10.5066	10.4243
Rbm12b1	7.5387	7.9742	7.5905	7.5489	7.1516	6.7619	7.4732	7.4958	7.5478	7.2256	7.3289	6.9968	6.6818	6.8342	7.2331	7.1614	6.9946
Rbm12b2	9.1094	9.1326	8.7417	 8.626	7.6018	7.5066	8.7057	8.6407	8.3536	8.1473	 8.256	7.6103	7.4445	7.3825	7.7924	7.7614	7.5761
Rbm14	10.8662	10.7596	10.6358	 10.624	11.3511	10.8637	10.7212	10.4995	10.6808	11.4503	11.3313	11.4359	11.1171	10.7596	10.5723	10.7938	10.7306
Rbm14-rbm4	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Rbm15	10.3763	10.2466	10.2486	9.93716	9.90654	10.3793	10.6073	10.3423	9.83748	9.80814	 9.8701	 9.6955	10.1351	10.0099	10.4095	10.4051	10.3278
Rbm15b	9.97472	10.3767	10.4017	10.3541	10.5079	10.1298	10.5707	10.8134	10.7233	  10.74	10.6248	10.5502	10.5195	10.0454	9.93471	 10.166	9.99565
Rbm17	10.3209	10.6099	11.1017	 11.363	11.3401	11.3928	11.0326	11.2627	11.4226	11.6246	11.6023	11.4273	11.5644	11.1713	11.4488	11.3541	11.2034
Rbm18	10.5022	10.8154	 10.034	9.87084	8.98964	9.09904	10.7526	10.1293	 9.8815	9.80015	9.83141	9.58816	 9.5854	9.01788	9.23975	9.32108	9.12887
Rbm19	9.61882	9.78966	10.4801	11.1007	11.3333	10.2498	10.0014	10.1601	11.1822	11.3877	11.3433	11.3744	11.0759	 10.028	10.1567	10.2876	9.68599
Rbm20	4.3254	4.6959	4.3667	4.4743	4.3832	4.8688	3.9934	4.0962	4.2949	4.3227	4.6674	4.3016	4.0364	 4.524	4.6882	4.9265	5.0587
Rbm22	11.2925	11.3467	10.8143	10.7035	10.8964	10.5718	 11.386	11.0255	10.8704	10.9767	10.9268	10.9639	 10.974	10.6926	10.5014	10.6477	10.4797
Rbm24	4.0486	3.7476	3.5576	3.8295	3.0418	3.7226	3.7207	3.5777	3.0418	3.5395	3.6625	 3.245	3.4545	3.0418	3.3094	  3.53	3.0418
Rbm25	13.2317	13.2851	 13.393	13.4734	13.0568	12.8031	13.1136	13.5117	  13.45	13.0112	  13.07	12.9921	12.5062	12.4009	12.7835	 12.727	12.5821
Rbm26	11.3788	11.3501	11.5516	11.7164	11.6483	11.2709	11.2854	11.7998	11.7555	11.3872	11.4224	11.5868	10.8633	10.9147	11.3726	11.2702	10.9925
Rbm27	 12.027	12.0317	11.7567	 11.919	11.9113	11.6009	11.8467	11.8247	11.7886	11.4142	11.4957	 11.719	11.1135	11.3241	11.6126	11.5657	11.3039
Rbm28	11.0422	11.0428	11.3335	11.7977	11.9339	11.4113	 11.224	11.6437	11.7657	11.8866	12.0374	12.0855	11.9179	11.4342	   11.6	11.6113	11.2747
Rbm3	9.82554	10.5297	10.2333	10.6936	10.1371	9.25885	10.6021	10.4206	10.6932	10.4393	10.5486	10.0283	9.97503	9.40686	9.67097	9.78155	9.85819
Rbm31y	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Rbm33	13.2932	13.2088	11.8722	 11.468	 11.495	11.6684	 12.736	11.1365	11.1974	11.1229	11.1773	11.2901	11.1104	11.5805	11.6519	11.5819	 11.682
Rbm34	 9.7459	10.0361	10.3742	10.6738	 10.334	9.79178	10.1667	10.5754	  10.59	10.4207	10.5752	10.3306	10.2147	9.78823	10.2765	10.1499	9.81703
Rbm38	11.4437	  12.28	11.6886	11.4323	11.7702	10.9265	 11.616	11.5389	11.7622	 12.143	11.8556	11.9622	11.8372	10.8294	10.2995	10.8882	 11.116
Rbm39	14.1893	14.0454	12.9714	13.0258	 12.515	12.8447	13.5881	12.8833	12.9153	12.6925	12.7274	12.5771	12.6812	12.7281	13.0128	 12.938	12.7388
Rbm3os	5.2619	5.9453	5.5862	5.2715	5.0691	5.3082	5.8585	 5.794	5.4668	5.3774	5.2128	5.2187	5.2382	 5.029	5.2777	5.1744	4.7658
